PUBMEDID	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	SNPS	RISK ALLELE FREQUENCY	P-VALUE	OR or BETA
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17141741	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17141741	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2386661	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2386661	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs4414128	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs4414128	0.78	5E-6	1.27
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs11613298	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs11613298	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs10132579	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs10132579	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2842346	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2842346	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2842347	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2842347	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs737387	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs737387	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs757369	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs757369	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs765899	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs765899	0.95	2E-6	1.67
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs12711517	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs12711517	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2289731	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2289731	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2305016	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2305016	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs9628987	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs13116936	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs13116936	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs13116936	0.64	3E-7	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs13116936	0.64	3E-7	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17051310	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17051310	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	0.64	3E-7	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	0.64	3E-7	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs17435444	0.64	3E-7	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs921551	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs921551	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs12355688	0.22	6E-6	1.24
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs10853029	NR	8E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs16875333	NR	3E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs1810320	NR	3E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs2230754	NR	5E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs4455437	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs6835704	NR	2E-6	
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs7535752	0.76	5E-6	1.23
23468962	http://europepmc.org/abstract/MED/23468962	A genome-wide scan for breast cancer risk haplotypes among African American women.	Breast cancer	3,016 African American cases; 2,745 African American controls		rs7535752	NR	5E-6	
23354978	http://europepmc.org/abstract/MED/23354978	Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.	Breast cancer	477 Ashkenazi Jewish cases, 524 Ashkenazi Jewish controls	203 Ashkenazi Jewish cases, 263 Ashkenazi Jewish contols	rs12906542	0.93	7E-7	2
23354978	http://europepmc.org/abstract/MED/23354978	Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.	Breast cancer	477 Ashkenazi Jewish cases, 524 Ashkenazi Jewish controls	203 Ashkenazi Jewish cases, 263 Ashkenazi Jewish contols	rs1078806	0.39	2E-6	1.43
23354978	http://europepmc.org/abstract/MED/23354978	Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.	Breast cancer	477 Ashkenazi Jewish cases, 524 Ashkenazi Jewish controls	203 Ashkenazi Jewish cases, 263 Ashkenazi Jewish contols	rs16882214	0.81	2E-6	1.43
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs8100241	NR	4E-8	1.14
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs2284378	0.31	1E-8	1.16
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs2284378	0.31	1E-8	1.16
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs2284378	0.31	1E-8	1.16
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs9383938	NR	2E-10	1.28
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs17530068	0.24	3E-7	1.16
22976474	http://europepmc.org/abstract/MED/22976474	A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.	Breast cancer	3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls	562 European ancestry cases, 6,410 European ancestry controls, 84 Japanese ancestry cases, 830 Japanese ancestry controls, 300 Latino cases, 1,164 Latino controls	rs17530068	0.24	3E-7	1.16
22951594	http://europepmc.org/abstract/MED/22951594	A genome-wide association study identifies a genetic variant in the SIAH2 locus associated with hormonal receptor-positive breast cancer in Japanese.	Breast cancer	1,086 Japanese ancestry cases, 1,816 Japanese ancestry controls	1,653 Japanese ancestry cases, 2,797 Japanese ancestry controls	rs3750817	0.49	8E-8	1.22
22951594	http://europepmc.org/abstract/MED/22951594	A genome-wide association study identifies a genetic variant in the SIAH2 locus associated with hormonal receptor-positive breast cancer in Japanese.	Breast cancer	1,086 Japanese ancestry cases, 1,816 Japanese ancestry controls	1,653 Japanese ancestry cases, 2,797 Japanese ancestry controls	rs6788895	0.65	9E-8	1.22
22923054	http://europepmc.org/abstract/MED/22923054	A genome-wide association study of breast cancer in women of African ancestry.	Breast cancer	3,016 African American cases, 2,745 African American controls	3,533 African ancestry cases, 11,046 African ancestry controls	rs4322600	0.78	4E-6	1.18
22452962	http://europepmc.org/abstract/MED/22452962	A genome-wide association study identifies a breast cancer risk variant in ERBB4 at 2q34: results from the Seoul Breast Cancer Study.	Breast cancer	2,273 Korean ancestry cases, 2,052 Korean ancestry controls	4,049 Korean ancestry cases, 3,845 Korean ancestry controls	rs13393577	0.051	9E-14	1.53
22383897	http://europepmc.org/abstract/MED/22383897	Genome-wide association study in east Asians identifies novel susceptibility loci for breast cancer.	Breast cancer	2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls	up to 16,173 East Asian ancestry cases, up to 18,282 East Asian ancestry controls	rs9383951	0.90	2E-6	1.14
22383897	http://europepmc.org/abstract/MED/22383897	Genome-wide association study in east Asians identifies novel susceptibility loci for breast cancer.	Breast cancer	2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls	up to 16,173 East Asian ancestry cases, up to 18,282 East Asian ancestry controls	rs7107217	0.36	5E-7	1.08
22383897	http://europepmc.org/abstract/MED/22383897	Genome-wide association study in east Asians identifies novel susceptibility loci for breast cancer.	Breast cancer	2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls	up to 16,173 East Asian ancestry cases, up to 18,282 East Asian ancestry controls	rs7107217	0.36	5E-7	1.08
22383897	http://europepmc.org/abstract/MED/22383897	Genome-wide association study in east Asians identifies novel susceptibility loci for breast cancer.	Breast cancer	2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls	up to 16,173 East Asian ancestry cases, up to 18,282 East Asian ancestry controls	rs9485372	0.55	4E-12	1.11
22037553	http://europepmc.org/abstract/MED/22037553	A common variant at the TERT-CLPTM1L locus is associated with estrogen receptor-negative breast cancer.	Breast cancer	1,004 African American cases, 2,745 African American controls,1,718 European ancestry cases, 3,670 European ancestry controls	2,292 European ancestry cases, 16,901 European ancestry controls	rs10069690	0.26	1E-10	1.18
21908515	http://europepmc.org/abstract/MED/21908515	Genome-wide association study identifies breast cancer risk variant at 10q21.2: results from the Asia Breast Cancer Consortium.	Breast cancer	2,062 East Asian ancestry cases, 2,066 East Asian ancestry controls	15,091 East Asian ancestry cases, 14,877 East Asian ancestry controls	rs2048672	0.45	6E-6	1.11
21908515	http://europepmc.org/abstract/MED/21908515	Genome-wide association study identifies breast cancer risk variant at 10q21.2: results from the Asia Breast Cancer Consortium.	Breast cancer	2,062 East Asian ancestry cases, 2,066 East Asian ancestry controls	15,091 East Asian ancestry cases, 14,877 East Asian ancestry controls	rs10822013	0.47	6E-9	1.12
21424380	http://europepmc.org/abstract/MED/21424380	Potential novel candidate polymorphisms identified in genome-wide association study for breast cancer susceptibility.	Breast cancer	302 European ancestry female cases, 321 European ancestry female controls	1,153 European ancestry female cases, 1,215 European ancestry female controls	rs1092913	0.13	2E-6	1.45
21424380	http://europepmc.org/abstract/MED/21424380	Potential novel candidate polymorphisms identified in genome-wide association study for breast cancer susceptibility.	Breast cancer	302 European ancestry female cases, 321 European ancestry female controls	1,153 European ancestry female cases, 1,215 European ancestry female controls	rs10411161	0.13	7E-6	1.42
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs10510102	0.17	2E-6	1.12
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs3112612	0.43	4E-10	1.15
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs3734805	0.08	1E-7	1.19
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs1219648	0.42	1E-30	1.31
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs1562430	0.60	3E-11	1.16
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs4973768	0.49	2E-8	1.14
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs865686	0.61	2E-10	1.12
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs865686	0.61	2E-10	1.12
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs865686	0.61	2E-10	1.12
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs4415084	0.42	8E-11	1.17
21263130	http://europepmc.org/abstract/MED/21263130	Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.	Breast cancer	2,839 European ancestry cases, 3,507 European ancestry controls	9,041 European ancestry cases, 8,980 European ancestry controls	rs13387042	0.52	2E-10	1.16
20872241	http://europepmc.org/abstract/MED/20872241	A combined analysis of genome-wide association studies in breast cancer.	Breast cancer	2,702 European ancestry female cases, 5,726 European ancestry controls	Up to 7,386 cases, 7,576 controls	rs3803662	0.30	4E-7	1.22
20872241	http://europepmc.org/abstract/MED/20872241	A combined analysis of genome-wide association studies in breast cancer.	Breast cancer	2,702 European ancestry female cases, 5,726 European ancestry controls	Up to 7,386 cases, 7,576 controls	rs1219648	0.42	2E-13	1.32
20872241	http://europepmc.org/abstract/MED/20872241	A combined analysis of genome-wide association studies in breast cancer.	Breast cancer	2,702 European ancestry female cases, 5,726 European ancestry controls	Up to 7,386 cases, 7,576 controls	rs7716600	0.23	7E-7	1.24
20872241	http://europepmc.org/abstract/MED/20872241	A combined analysis of genome-wide association studies in breast cancer.	Breast cancer	2,702 European ancestry female cases, 5,726 European ancestry controls	Up to 7,386 cases, 7,576 controls	rs13387042	0.53	9E-6	1.18
20852631	http://europepmc.org/abstract/MED/20852631	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.	Breast cancer	1,193 European ancestry cases, 1,190 European ancestry controls	2,974 European ancestry cases, 3,012 European ancestry controls	rs8170	0.17	2E-9	1.26
20852631	http://europepmc.org/abstract/MED/20852631	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.	Breast cancer	1,193 European ancestry cases, 1,190 European ancestry controls	2,974 European ancestry cases, 3,012 European ancestry controls	rs8170	0.17	2E-9	1.26
20852631	http://europepmc.org/abstract/MED/20852631	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.	Breast cancer	1,193 European ancestry cases, 1,190 European ancestry controls	2,974 European ancestry cases, 3,012 European ancestry controls	rs8170	0.17	2E-9	1.26
20585626	http://europepmc.org/abstract/MED/20585626	Identification of a functional genetic variant at 16q12.1 for breast cancer risk: results from the Asia Breast Cancer Consortium.	Breast cancer	2,073 Chinese ancestry cases, 2,084 Chinese ancestry controls	15,159 East Asian ancestry cases, 12,993 East Asian ancestry controls, 2,797 European ancestry cases, 2,662 European ancestry controls	rs4784227	0.24	1E-28	1.24
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs3803662	0.26	3E-15	1.3
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs3757318	0.07	3E-6	1.3
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs3757318	0.07	3E-6	1.3
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs1011970	0.17	3E-8	1.09
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs1011970	0.17	3E-8	1.09
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs2981579	0.42	4E-31	1.43
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs1562430	0.58	6E-7	1.17
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs1011970	0.17	3E-8	1.09
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs1011970	0.17	3E-8	1.09
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs4973768	0.47	6E-7	1.16
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs909116	0.53	7E-7	1.17
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs704010	0.39	4E-9	1.07
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs10995190	0.85	5E-15	1.16
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs614367	0.15	3E-15	1.15
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs614367	0.15	3E-15	1.15
20453838	http://europepmc.org/abstract/MED/20453838	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	3,659 European ancestry cases, 4,897 European ancestry controls	12,576 European ancestry cases, 12,223 European ancestry controls	rs614367	0.15	3E-15	1.15
